gameId,week,homeTeamAbbr,homeFinalScore,visitorTeamAbbr,visitorFinalScore,Home_winner,tie,Winner,Loser
2022090800,1,LA,10,BUF,31,False,,BUF,BUF
2022091100,1,ATL,26,NO,27,False,,NO,NO
2022091101,1,CAR,24,CLE,26,False,,CLE,CLE
2022091102,1,CHI,19,SF,10,True,,SF,SF
2022091103,1,CIN,20,PIT,23,False,,PIT,PIT
2022091104,1,DET,35,PHI,38,False,,PHI,PHI
2022091105,1,HOU,20,IND,20,False,T,IND,IND
2022091106,1,MIA,20,NE,7,True,,NE,NE
2022091107,1,NYJ,9,BAL,24,False,,BAL,BAL
2022091109,1,WAS,28,JAX,22,True,,JAX,JAX
2022091110,1,ARI,21,KC,44,False,,KC,KC
2022091111,1,LAC,24,LV,19,True,,LV,LV
2022091112,1,MIN,23,GB,7,True,,GB,GB
2022091108,1,TEN,20,NYG,21,False,,NYG,NYG
2022091113,1,DAL,3,TB,19,False,,TB,TB
2022091200,1,SEA,17,DEN,16,True,,DEN,DEN
2022091500,2,KC,27,LAC,24,True,,LAC,LAC
2022091800,2,BAL,38,MIA,42,False,,MIA,MIA
2022091801,2,CLE,30,NYJ,31,False,,NYJ,NYJ
2022091802,2,DET,36,WAS,27,True,,WAS,WAS
2022091803,2,JAX,24,IND,0,True,,IND,IND
2022091804,2,NO,10,TB,20,False,,TB,TB
2022091805,2,NYG,19,CAR,16,True,,CAR,CAR
2022091806,2,PIT,14,NE,17,False,,NE,NE
2022091807,2,LA,31,ATL,27,True,,ATL,ATL
2022091808,2,SF,27,SEA,7,True,,SEA,SEA
2022091809,2,DAL,20,CIN,17,True,,CIN,CIN
2022091810,2,DEN,16,HOU,9,True,,HOU,HOU
2022091811,2,LV,23,ARI,29,False,,ARI,ARI
2022091812,2,GB,27,CHI,10,True,,CHI,CHI
2022091900,2,BUF,41,TEN,7,True,,TEN,TEN
2022091901,2,PHI,24,MIN,7,True,,MIN,MIN
2022092200,3,CLE,29,PIT,17,True,,PIT,PIT
2022092500,3,CAR,22,NO,14,True,,NO,NO
2022092501,3,CHI,23,HOU,20,True,,HOU,HOU
2022092502,3,IND,20,KC,17,True,,KC,KC
2022092503,3,MIA,21,BUF,19,True,,BUF,BUF
2022092504,3,MIN,28,DET,24,True,,DET,DET
2022092505,3,NE,26,BAL,37,False,,BAL,BAL
2022092506,3,NYJ,12,CIN,27,False,,CIN,CIN
2022092507,3,TEN,24,LV,22,True,,LV,LV
2022092508,3,WAS,8,PHI,24,False,,PHI,PHI
2022092509,3,LAC,10,JAX,38,False,,JAX,JAX
2022092510,3,ARI,12,LA,20,False,,LA,LA
2022092511,3,SEA,23,ATL,27,False,,ATL,ATL
2022092512,3,TB,12,GB,14,False,,GB,GB
2022092513,3,DEN,11,SF,10,True,,SF,SF
2022092600,3,NYG,16,DAL,23,False,,DAL,DAL
2022092900,4,CIN,27,MIA,15,True,,MIA,MIA
2022100200,4,NO,25,MIN,28,False,,MIN,MIN
2022100201,4,ATL,23,CLE,20,True,,CLE,CLE
2022100202,4,BAL,20,BUF,23,False,,BUF,BUF
2022100204,4,DAL,25,WAS,10,True,,WAS,WAS
2022100205,4,DET,45,SEA,48,False,,SEA,SEA
2022100206,4,HOU,24,LAC,34,False,,LAC,LAC
2022100207,4,IND,17,TEN,24,False,,TEN,TEN
2022100208,4,NYG,20,CHI,12,True,,CHI,CHI
2022100209,4,PHI,29,JAX,21,True,,JAX,JAX
2022100210,4,PIT,20,NYJ,24,False,,NYJ,NYJ
2022100203,4,CAR,16,ARI,26,False,,ARI,ARI
2022100211,4,GB,27,NE,24,True,,NE,NE
2022100212,4,LV,32,DEN,23,True,,DEN,DEN
2022100213,4,TB,31,KC,41,False,,KC,KC
2022100300,4,SF,24,LA,9,True,,LA,LA
2022100600,5,DEN,9,IND,12,False,,IND,IND
2022100900,5,GB,22,NYG,27,False,,NYG,NYG
2022100901,5,BUF,38,PIT,3,True,,PIT,PIT
2022100902,5,CLE,28,LAC,30,False,,LAC,LAC
2022100903,5,JAX,6,HOU,13,False,,HOU,HOU
2022100904,5,MIN,29,CHI,22,True,,CHI,CHI
2022100905,5,NE,29,DET,0,True,,DET,DET
2022100906,5,NO,39,SEA,32,True,,SEA,SEA
2022100907,5,NYJ,40,MIA,17,True,,MIA,MIA
2022100908,5,TB,21,ATL,15,True,,ATL,ATL
2022100909,5,WAS,17,TEN,21,False,,TEN,TEN
2022100910,5,CAR,15,SF,37,False,,SF,SF
2022100911,5,ARI,17,PHI,20,False,,PHI,PHI
2022100912,5,LA,10,DAL,22,False,,DAL,DAL
2022100913,5,BAL,19,CIN,17,True,,CIN,CIN
2022101000,5,KC,30,LV,29,True,,LV,LV
2022101300,6,CHI,7,WAS,12,False,,WAS,WAS
2022101600,6,ATL,28,SF,14,True,,SF,SF
2022101601,6,CLE,15,NE,38,False,,NE,NE
2022101602,6,GB,10,NYJ,27,False,,NYJ,NYJ
2022101603,6,IND,34,JAX,27,True,,JAX,JAX
2022101604,6,MIA,16,MIN,24,False,,MIN,MIN
2022101605,6,NO,26,CIN,30,False,,CIN,CIN
2022101606,6,NYG,24,BAL,20,True,,BAL,BAL
2022101607,6,PIT,20,TB,18,True,,TB,TB
2022101608,6,LA,24,CAR,10,True,,CAR,CAR
2022101609,6,SEA,19,ARI,9,True,,ARI,ARI
2022101610,6,KC,20,BUF,24,False,,BUF,BUF
2022101611,6,PHI,26,DAL,17,True,,DAL,DAL
2022101700,6,LAC,19,DEN,16,True,,DEN,DEN
2022102000,7,ARI,42,NO,34,True,,NO,NO
2022102300,7,BAL,23,CLE,20,True,,CLE,CLE
2022102301,7,CAR,21,TB,3,True,,TB,TB
2022102302,7,CIN,35,ATL,17,True,,ATL,ATL
2022102303,7,DAL,24,DET,6,True,,DET,DET
2022102304,7,JAX,17,NYG,23,False,,NYG,NYG
2022102305,7,TEN,19,IND,10,True,,IND,IND
2022102306,7,WAS,23,GB,21,True,,GB,GB
2022102307,7,DEN,9,NYJ,16,False,,NYJ,NYJ
2022102308,7,LV,38,HOU,20,True,,HOU,HOU
